description,parameters,return_type,library,keywords,param_count,function_name
Adds two integers and returns their sum,"int a, int b",int,MathUtils,"add,sum,arithmetic",2,addNumbers
Returns the sum of two given integer values,"int a, int b",int,MathUtils,"add,sum,arithmetic",2,addNumbers
Computes the total of two integers and returns the result,"int a, int b",int,MathUtils,"add,sum,arithmetic",2,addNumbers
Calculates the factorial of a non-negative integer,int n,long,MathUtils,"factorial,recursive,math",1,calculateFactorial
Returns the factorial value for a given non-negative number,int n,long,MathUtils,"factorial,recursive,math",1,calculateFactorial
Computes n factorial for the given integer n,int n,long,MathUtils,"factorial,recursive,math",1,calculateFactorial
Calculates the square root of a given number,double value,double,MathUtils,"sqrt,root,math",1,calculateSquareRoot
Returns the square root of the given double value,double value,double,MathUtils,"sqrt,root,math",1,calculateSquareRoot
Computes the mathematical square root of a value,double value,double,MathUtils,"sqrt,root,math",1,calculateSquareRoot
Returns the maximum of two integer values,"int a, int b",int,MathUtils,"max,maximum,compare",2,findMaximum
Finds and returns the larger of two given integers,"int a, int b",int,MathUtils,"max,maximum,compare",2,findMaximum
Compares two integers and returns the maximum one,"int a, int b",int,MathUtils,"max,maximum,compare",2,findMaximum
Raises base to the given exponent and returns the result,"double base, int exponent",double,MathUtils,"power,exponent,math",2,calculatePower
Computes base raised to the power of exponent,"double base, int exponent",double,MathUtils,"power,exponent,math",2,calculatePower
Returns the result of raising a base to an integer exponent,"double base, int exponent",double,MathUtils,"power,exponent,math",2,calculatePower
Reverses the characters in a given string,String input,String,StringUtils,"reverse,string,characters",1,reverseString
Returns the input string with its characters in reverse order,String input,String,StringUtils,"reverse,string,characters",1,reverseString
Flips the character order of a given string value,String input,String,StringUtils,"reverse,string,characters",1,reverseString
Converts all characters of a string to uppercase,String input,String,StringUtils,"uppercase,convert,string",1,convertToUpperCase
Returns the input string converted to all uppercase letters,String input,String,StringUtils,"uppercase,convert,string",1,convertToUpperCase
Transforms every character in the string to its uppercase form,String input,String,StringUtils,"uppercase,convert,string",1,convertToUpperCase
Checks if a given string is a palindrome,String input,boolean,StringUtils,"palindrome,check,string",1,checkPalindrome
Returns true if the input string reads the same forwards and backwards,String input,boolean,StringUtils,"palindrome,check,string",1,checkPalindrome
Determines whether a given string is a palindrome,String input,boolean,StringUtils,"palindrome,check,string",1,checkPalindrome
Splits a string into an array using the given delimiter,"String input, String delimiter",String[],StringUtils,"split,delimiter,array",2,splitByDelimiter
Divides the input string into parts based on the specified delimiter,"String input, String delimiter",String[],StringUtils,"split,delimiter,array",2,splitByDelimiter
Returns an array of substrings by splitting on the given delimiter,"String input, String delimiter",String[],StringUtils,"split,delimiter,array",2,splitByDelimiter
